ticker,date,open,high,low,close
A,2012-09-27,25.1289,25.3491,24.9705,25.1857
A,2012-09-28,25.1857,25.2803,24.7413,25.1677
A,2012-10-01,25.1997,25.8663,25.1229,25.4339
A,2012-10-02,25.5833,25.7807,25.2275,25.4399
A,2012-10-03,25.5265,25.7229,25.2803,25.5135
A,2012-10-04,25.675,25.9471,25.4399,25.6611
A,2012-10-05,25.7936,25.9072,25.3342,25.4339
A,2012-10-08,25.2605,25.4667,25.1997,25.3053
A,2012-10-09,25.3053,25.6083,24.9565,24.9705
A,2012-10-10,24.9895,25.0313,24.3656,24.4862
A,2012-10-11,24.7233,24.9895,24.6287,24.6287
A,2012-10-12,24.6685,24.7293,24.2998,24.3656
A,2012-10-15,24.4264,24.6427,24.2121,24.3397
A,2012-10-16,24.5251,24.8609,24.5121,24.8161
A,2012-10-17,24.8679,25.0383,24.6755,24.9117
A,2012-10-18,24.6017,24.6077,23.8574,23.981
A,2012-10-19,23.8723,23.8773,23.3272,23.402
A,2012-10-22,23.3412,23.6292,23.2545,23.5644
A,2012-10-23,23.1568,23.389,23.1568,23.2416
A,2012-10-24,23.3272,23.5435,23.1967,23.4678
A,2012-10-25,23.69,23.7109,23.402,23.6362
A,2012-10-26,23.678,23.7607,23.3681,23.5236
A,2012-10-31,23.5644,23.7926,23.4718,23.5574
A,2012-11-01,23.5903,24.3188,23.5305,24.2869
A,2012-11-02,24.4573,24.4573,24.0377,24.2191
A,2012-11-05,24.2191,24.6835,24.1205,24.6147
A,2012-11-06,24.6287,25.1857,24.5749,25.0581
A,2012-11-07,24.7293,24.822,24.3775,24.5948
A,2012-11-08,24.5948,24.6427,24.1125,24.1404
A,2012-11-09,23.975,24.3188,23.9301,24.1613
A,2012-11-12,24.26,24.3188,24.0517,24.0995
A,2012-11-13,23.9949,24.1205,23.7548,23.7816
A,2012-11-14,23.8374,24.0517,23.6292,23.6571
A,2012-11-15,23.6571,23.981,23.3621,23.402
A,2012-11-16,23.4279,23.4678,23.2036,23.4408
A,2012-11-19,24.2271,24.8609,24.2271,24.5499
A,2012-11-20,23.5236,24.1683,23.4338,23.7488
A,2012-11-21,23.7757,23.8723,23.3272,23.4608
A,2012-11-23,23.671,24.1613,23.5704,24.1404
A,2012-11-26,24.0188,24.5251,23.9481,24.5251
A,2012-11-27,24.4503,24.6427,24.2062,24.4383
A,2012-11-28,24.2998,24.8867,24.1743,24.8539
A,2012-11-29,24.8808,25.2545,24.8808,25.0951
A,2012-11-30,25.1169,25.1857,24.8679,25.0651
A,2012-12-03,25.2665,25.4597,24.7971,24.822
A,2012-12-04,24.7483,25.0183,24.6685,24.9565
A,2012-12-05,24.9635,25.4937,24.9317,25.3053
A,2012-12-06,25.2275,25.3621,24.9495,25.0811
A,2012-12-07,25.1997,25.2067,24.7293,24.7483
A,2012-12-10,24.7413,25.2983,24.6835,25.2395
A,2012-12-11,25.3621,26.1424,25.3491,25.9879
A,2012-12-12,26.0537,26.7323,25.9879,26.5161
A,2012-12-13,26.4393,26.4583,25.9471,26.0537
A,2012-12-14,26.0019,26.3596,25.9879,26.0846
A,2012-12-17,26.1673,26.7004,26.0337,26.6665
A,2012-12-18,26.6795,27.3192,26.6078,27.092
A,2012-12-19,27.1498,27.1638,26.5599,26.5679
A,2012-12-20,26.5599,27.092,26.4583,27.0721
A,2012-12-21,26.6277,26.8678,25.961,26.8678
A,2012-12-24,26.7672,26.9456,26.6934,26.8808
A,2012-12-26,26.9047,26.9864,26.6855,26.7672
A,2012-12-27,26.7881,26.833,26.251,26.6665
A,2012-12-28,26.3905,26.5021,26.1125,26.1334
A,2012-12-31,26.0148,26.8808,26.0148,26.8618
A,2013-01-02,27.668,27.668,27.0004,27.4816
A,2013-01-03,27.5216,27.649,27.2824,27.5794
A,2013-01-04,27.649,28.1832,27.4688,28.1224
A,2013-01-07,27.955,28.0856,27.8066,27.9202
A,2013-01-08,27.8324,28.0716,27.6232,27.694
A,2013-01-09,28.2161,28.5081,28.0128,28.4423
A,2013-01-10,28.6356,28.9505,28.4284,28.6566
A,2013-01-11,28.6496,28.8648,28.4483,28.4941
A,2013-01-14,28.4941,28.5689,28.1424,28.5689
A,2013-01-15,28.3148,28.4622,28.1025,28.3706
A,2013-01-16,28.3148,28.3706,28.1294,28.246
A,2013-01-17,28.6356,29.1528,28.5569,28.7851
A,2013-01-18,28.9027,28.9765,28.6018,28.9705
A,2013-01-22,28.8469,29.2963,28.7712,29.2893
A,2013-01-23,29.2235,29.2754,28.9505,29.0691
A,2013-01-24,29.2365,29.6561,29.1528,29.3033
A,2013-01-25,29.3501,29.8873,29.3093,29.7169
A,2013-01-28,29.6501,29.8125,29.4767,29.6441
A,2013-01-29,29.5036,29.5145,29.1977,29.2893
A,2013-01-30,29.2495,29.4557,28.9834,29.1319
A,2013-01-31,29.101,29.4418,29.0761,29.382
A,2013-02-01,29.5793,29.9599,29.2235,29.7169
A,2013-02-04,29.389,29.5105,28.7911,29.0442
A,2013-02-05,29.2365,29.5663,29.101,29.5285
A,2013-02-06,29.3431,29.6132,29.2057,29.5863
A,2013-02-07,29.4279,29.5663,29.1528,29.5355
A,2013-02-08,29.5723,29.7577,29.5285,29.5793
A,2013-02-11,29.6381,29.6441,29.1658,29.2625
A,2013-02-12,29.4019,29.4967,29.1977,29.2754
A,2013-02-13,29.4019,29.6839,29.3153,29.3611
A,2013-02-14,29.3431,29.382,29.108,29.2495
A,2013-02-15,28.529,29.0303,27.694,27.7188
A,2013-02-19,27.694,28.2948,27.694,28.2221
A,2013-02-20,28.1095,28.1164,27.699,27.7118
A,2013-02-21,27.6422,27.649,27.2126,27.3142
A,2013-02-22,27.5016,27.6062,27.2824,27.4298
A,2013-02-25,27.6162,27.699,27.093,27.093
A,2013-02-26,26.6536,27.093,26.3716,26.8808
A,2013-02-27,26.8938,27.5016,26.7951,27.382
A,2013-02-28,27.416,27.5992,27.1986,27.2196
A,2013-03-01,27.0203,27.5484,26.7273,27.5146
A,2013-03-04,27.395,27.675,27.2426,27.5794
A,2013-03-05,27.7856,28.3397,27.7786,27.9929
A,2013-03-06,28.2161,28.5569,28.1494,28.3706
A,2013-03-07,28.4104,28.529,28.0906,28.3775
A,2013-03-08,28.542,28.5569,28.229,28.235
A,2013-03-11,28.2101,28.2221,27.382,28.0906
A,2013-03-12,28.0856,28.2161,27.948,27.968
A,2013-03-13,27.9271,28.246,27.8185,28.2161
A,2013-03-14,28.235,28.4622,28.2161,28.4224
A,2013-03-15,28.2799,28.3586,28.1364,28.2221
A,2013-03-18,27.8594,28.0188,27.675,27.9202
A,2013-03-19,28.0058,28.0975,27.2894,27.5614
A,2013-03-20,27.7188,28.0786,27.699,28.0188
A,2013-03-21,27.8524,28.0576,27.3142,27.3262
A,2013-03-22,27.4228,27.4228,26.8429,27.0652
A,2013-03-25,27.2256,27.3262,26.7672,26.9864
A,2013-03-26,27.1648,27.4428,27.114,27.4428
A,2013-03-27,27.1648,27.681,27.0392,27.6162
A,2013-03-28,27.687,27.687,27.3072,27.6162
A,2013-04-01,27.5286,27.6232,26.8399,26.9306
A,2013-04-02,27.0572,27.2176,26.7104,26.7572
A,2013-04-03,26.7373,26.9714,26.531,26.6626
A,2013-04-04,26.6755,27.2874,26.6755,27.2475
A,2013-04-05,26.804,27.5414,26.7652,27.3332
A,2013-04-08,27.2684,27.4688,27.091,27.416
A,2013-04-09,27.4618,27.7198,27.3252,27.409
A,2013-04-10,27.4618,27.8812,27.4218,27.8066
A,2013-04-11,27.8664,28.9057,27.8534,28.8618
A,2013-04-12,28.6526,29.4747,28.5788,29.4478
A,2013-04-15,29.2803,29.3083,28.263,28.3247
A,2013-04-16,28.5988,28.7881,28.1912,28.5519
A,2013-04-17,28.3466,28.3666,27.5922,27.7597
A,2013-04-18,27.4876,27.7996,27.2944,27.5286
A,2013-04-19,27.5674,27.7796,27.409,27.6362
A,2013-04-22,27.655,27.7996,27.2046,27.5414
A,2013-04-23,27.7726,28.1912,27.7198,28.0388
A,2013-04-24,28.1104,28.3247,27.8812,28.1982
A,2013-04-25,28.3287,28.4572,28.0726,28.1184
A,2013-04-26,27.9281,28.0138,26.7782,27.1778
A,2013-04-29,27.401,27.4288,27.0124,27.2814
A,2013-04-30,27.112,27.416,26.9436,27.2684
A,2013-05-01,27.2544,27.4688,27.1488,27.1848
A,2013-05-02,27.3014,27.4558,27.1369,27.2944
A,2013-05-03,27.5922,27.9988,27.3332,27.3402
A,2013-05-06,27.2684,27.7128,27.2366,27.6362
A,2013-05-07,27.7528,27.9082,27.5724,27.9012
A,2013-05-08,27.9012,28.263,27.8324,28.255
A,2013-05-09,28.2749,28.4244,28.0527,28.3994
A,2013-05-10,28.3726,28.8549,28.3247,28.7094
A,2013-05-13,28.5788,28.6655,28.1104,28.3247
A,2013-05-14,28.2829,28.9934,28.2191,28.9336
A,2013-05-15,29.5455,30.5918,29.5405,30.0587
A,2013-05-16,29.8933,30.1623,29.5913,29.6053
A,2013-05-17,29.6251,30.1553,29.6053,29.9789
A,2013-05-20,29.9251,31.2236,29.8683,30.4931
A,2013-05-21,30.4682,30.9007,30.4084,30.7612
A,2013-05-22,30.7433,31.2365,30.3147,30.4273
A,2013-05-23,30.0716,30.2251,29.7427,30.0975
A,2013-05-24,29.8493,30.0647,29.7777,29.9969
A,2013-05-28,30.3287,30.8867,30.3287,30.5539
A,2013-05-29,30.2589,30.5001,29.8743,30.3038
A,2013-05-30,30.4084,30.9585,30.2779,30.3038
A,2013-05-31,30.2131,30.5768,29.8943,29.9071
A,2013-06-03,30.0397,30.1623,29.6371,29.9461
A,2013-06-04,30.3875,30.5669,29.8623,29.8873
A,2013-06-05,29.8245,29.8623,29.2803,29.3013
A,2013-06-06,29.2803,29.6181,29.0921,29.6181
A,2013-06-07,29.7169,30.2181,29.5713,29.7099
A,2013-06-10,29.8425,29.8425,29.2734,29.4329
A,2013-06-11,29.098,29.3661,28.9545,29.2166
A,2013-06-12,29.4687,29.5026,28.822,28.8997
A,2013-06-13,28.8698,29.3213,28.7303,29.2734
A,2013-06-14,29.1757,29.3272,28.8549,28.9545
A,2013-06-17,29.2027,29.5265,29.0791,29.2027
A,2013-06-18,29.2027,29.4897,29.1299,29.4827
A,2013-06-19,29.4408,29.5335,28.6247,28.6386
A,2013-06-20,28.3666,28.3666,27.5414,27.8464
A,2013-06-21,28.0328,28.4453,27.8812,28.2829
A,2013-06-24,27.9281,28.1304,27.681,27.8394
A,2013-06-25,27.6422,28.1782,27.6422,27.956
A,2013-06-26,28.3596,28.4832,27.8185,27.8604
A,2013-06-27,28.0058,28.4832,27.9829,28.3466
A,2013-06-28,28.3726,28.5798,28.1982,28.2181
A,2013-07-01,28.4064,28.8828,28.3168,28.7642
A,2013-07-02,28.7034,28.9625,28.3416,28.4314
A,2013-07-03,28.255,28.6785,28.1912,28.4842
A,2013-07-05,28.6785,29.2235,28.6396,29.1857
A,2013-07-08,29.2833,29.4787,29.1129,29.2694
A,2013-07-09,29.4299,29.6651,29.2555,29.4299
A,2013-07-10,29.4577,30.1205,29.3691,29.8973
A,2013-07-11,30.1473,30.3397,29.9769,30.1683
A,2013-07-12,30.2101,30.3207,30.0765,30.1892
A,2013-07-15,30.1533,30.5389,30.1403,30.4263
A,2013-07-16,30.4124,30.6635,30.2101,30.2948
A,2013-07-17,30.3207,30.4194,30.0706,30.0955
A,2013-07-18,30.1274,30.3865,30.0577,30.2889
